序号,国家/地区,中文校名,外文校名
496,美国,纽约州立大学宾汉姆顿分校,"Binghamton University, State University of New York"
497,美国,纽约州立大学-石溪,Stony Brook University
498,美国,纽约州立大学水牛城分校,"University at Buffalo, the State University of New York"
499,美国,纽约州立大学卫生科学中心-布鲁克林,State University of New York Health Science Center at Brooklyn
500,美国,匹兹堡大学,"University of Pittsburgh, Pittsburgh Campus"
501,美国,普渡大学-西拉法叶,Purdue University - West Lafayette
502,美国,普拉特学院,Pratt Institute
503,美国,普林斯顿大学,Princeton University
504,美国,乔治城大学,Georgetown University
505,美国,乔治华盛顿大学,George Washington University
506,美国,乔治梅森大学,George Mason University
507,美国,萨凡纳艺术设计学院,Savannah College of Art and Design
508,美国,圣地亚哥州立大学,San Diego State University
509,美国,圣路易斯大学,Saint Louis University
510,美国,圣母玛利亚大学,University of Notre Dame
511,美国,斯坦福大学,Stanford University
512,美国,塔夫茨大学,Tufts University
513,美国,坦普尔大学,Temple University
514,美国,特拉华大学,University of Delaware
515,美国,田纳西大学-诺克斯维尔,University of Tennessee - Knoxville
516,美国,托马斯杰斐逊大学,Thomas Jefferson University
517,美国,威廉玛丽学院,College of William & Mary
518,美国,威斯康辛大学-麦迪逊,University of Wisconsin - Madison
519,美国,威斯康辛大学米尔沃基分校,University of Wisconsin--Milwaukee
520,美国,威斯康辛医学院,Medical College of Wisconsin
521,美国,韦恩州立大学,Wayne State University
522,美国,维克森林大学,Wake Forest University
523,美国,伍斯特理工学院,Worcester Polytechnic Institute
524,美国,西北大学(美国),Northwestern University
525,美国,西奈山医学院,Icahn School of Medicine at Mount Sinai
526,美国,夏威夷大学马诺阿分校,University of Hawaii at Manoa
527,美国,辛辛那提大学,University of Cincinnati
528,美国,新罕布什尔大学-达勒姆,University of New Hampshire - Durham
529,美国,新墨西哥大学-阿尔伯克基,University of New Mexico - Albuquerque
530,美国,新学校大学,New School University
531,美国,新学校大学帕森设计学院,Parsons School of Design at The New School
532,美国,休斯顿大学,University of Houston
533,美国,雪城大学,Syracuse University
534,美国,亚利桑那大学,University of Arizona
535,美国,亚利桑那州立大学-坦佩,Arizona State University - Temple
536,美国,杨百翰大学-普罗沃,Brigham Young University
537,美国,耶鲁大学,Yale University
538,美国,叶史瓦大学,Yeshiva University
539,美国,伊利诺伊大学香槟分校,University of Illinois at Urbana-Champaign
540,美国,伊利诺伊科技学院,Illinois Institute of Technology
541,美国,印第安纳大学-布鲁明顿,Indiana University Bloomington
542,美国,印第安纳大学-印第安纳波利斯,Indiana University-Purdue University at Indianapolis
543,美国,犹他大学,University of Utah
544,美国,犹他州立大学,Utah State University
545,美国,约翰霍普金斯大学,Johns Hopkins University
546,美国,芝加哥大学,University of Chicago
547,美国,芝加哥洛约拉大学,Loyola University Chicago
548,美国,芝加哥伊利诺伊大学,University of Illinois at Chicago
549,美国,芝加哥艺术学院,School of the Art Institute of Chicago (SAIC)
550,美国,中佛罗里达大学,University of Central Florida
551,美国,佐治亚大学,University of Georgia
552,美国,佐治亚理工学院,Georgia Institute of Technology
553,美国,佐治亚州立大学,Georgia State University
554,孟加拉国,达卡大学,University of Dhaka
555,秘鲁,秘鲁天主教大学,Pontificia Universidad Católica del Perú
556,墨西哥,蒙特雷科技大学,Instituto Tecnológico y de Estudios Superiores de Monterrey
557,墨西哥,墨西哥国立理工大学,Instituto Politécnico Nacional (IPN)
558,墨西哥,墨西哥国立自治大学,Universidad Nacional Autónoma de México (UNAM)
559,墨西哥,墨西哥自治都会大学,Universidad Autónoma Metropolitana (UAM)
560,墨西哥,墨西哥自治理工大学,Instituto Tecnológico Autónomo de México (ITAM)
561,墨西哥,普埃布拉自治大学,Benemérita Universidad Autónoma de Puebla
562,墨西哥,圣路易斯波多西州立自治大学,Universidad Autónoma de San Luis de Potosí
563,墨西哥,伊比利亚美洲大学,Universidad Iberoamericana (UIA)
564,南非,比勒陀利亚大学,University of Pretoria
565,南非,金山大学,University of the Witwatersrand
566,南非,开普敦大学,University of Cape Town
567,南非,夸祖鲁-纳塔尔大学,University of KwaZulu-Natal
568,南非,罗德斯大学,Rhodes University
569,南非,斯坦陵布什大学,Stellenbosch University
570,南非,约翰内斯堡大学,University of Johannesburg
571,挪威,奥斯陆大学,University of Oslo
572,挪威,卑尔根大学,University of Bergen
573,挪威,挪威科技大学,Norwegian University of Science and Technology - NTNU
574,挪威,挪威商学院,BI Norwegian Business School
575,挪威,挪威生命科学大学,Norwegian University of Life Sciences
576,挪威,挪威兽医学院,Norwegian School of Veterinary Science
577,挪威,特罗姆瑟大学-挪威北极圈大学,University of Tromsø- The Arctic University of Norway (UiT)
578,葡萄牙,阿威罗大学,University of Aveiro
579,葡萄牙,波尔图大学,University of Porto
580,葡萄牙,科英布拉大学,University of Coimbra
581,葡萄牙,里斯本大学,University of Lisbon
582,葡萄牙,里斯本技术高等学院,Instituto Superior Técnico Lisboa
583,葡萄牙,米尼奥大学,University of Minho
584,葡萄牙,新星葡京大学,Universidade Nova de Lisboa
585,日本,北海道大学,Hokkaido University
586,日本,长崎大学,Nagasaki University
587,日本,大阪大学,Osaka University
588,日本,大阪市立大学,Osaka City University
589,日本,德岛大学,The University of Tokushima
590,日本,东北大学(日本),Tohoku University
591,日本,东京大学,University of Tokyo
592,日本,东京都会大学,Tokyo Metropolitan University
593,日本,东京工业大学,Tokyo Institute of Technology
594,日本,东京科学大学,Tokyo University of Science
595,日本,东京农业科技大学,Tokyo University of Agriculture and Technology
596,日本,东京药科大学,Tokyo University of Pharmacy and Life Sciences
597,日本,东京医牙大学,Tokyo Medical and Dental University
598,日本,冈山大学,Okayama University
599,日本,广岛大学,Hiroshima University
600,日本,横滨国立大学,Yokohama National University
601,日本,金泽大学,Kanazawa University
602,日本,京都大学,Kyoto University
603,日本,九州大学,Kyushu University
604,日本,名古屋大学,Nagoya University
605,日本,奈良科技大学,Nara Institute of Science and Technology
606,日本,千叶大学,Chiba University
607,日本,庆应义塾大学,Keio University
608,日本,群马大学,Gunma University
609,日本,三重大学,Mie University
610,日本,山口大学,Yamaguchi University
611,日本,上智大学,Sophia University
612,日本,神户大学,Kobe University
613,日本,新泻大学,Niigata University
614,日本,信州大学,Shinshu University
615,日本,熊本大学,Kumamoto University
616,日本,一桥大学,Hitotsubashi University
617,日本,早稻田大学,Waseda University
618,日本,昭和大学,Showa University
619,日本,筑波大学,University of Tsukuba
620,瑞典,查尔姆斯理工大学,Chalmers University of Technology
621,瑞典,厄勒布鲁大学,Örebro University
622,瑞典,哥德堡大学,University of Gothenburg
623,瑞典,皇家理工学院,KTH Royal Institute of Technology
624,瑞典,卡罗林斯卡学院,Karolinska Institute
625,瑞典,林雪平大学,Linkoping University
626,瑞典,隆德大学,Lund University
627,瑞典,马尔默大学,Malmo University
628,瑞典,瑞典国立艺术与设计学院,"Konstfack University College of Arts, Crafts and Design"
629,瑞典,瑞典皇家美术学院,Royal University College of Fine Arts
630,瑞典,瑞典农业科学大学,Swedish University of Agricultural Sciences
631,瑞典,斯德哥尔摩大学,Stockholm University
632,瑞典,斯德哥尔摩经济学院,Stockholm School of Economics
633,瑞典,乌普萨拉大学,Uppsala University
634,瑞典,于默奥大学,Umea University
635,瑞士,巴塞尔大学,University of Basel
636,瑞士,伯尔尼大学,University of Bern
637,瑞士,弗里堡大学,University of Fribourg
638,瑞士,卢加诺大学,USI Università della Svizzera italiana / USI University of Lugano
639,瑞士,洛桑大学,University of Lausanne
640,瑞士,洛桑联邦理工学院,Swiss Federal Institute of Technology Lausanne
641,瑞士,纽沙泰尔大学,University of Neuchatel
642,瑞士,日内瓦大学,University of Geneva
643,瑞士,日内瓦艺术设计学院,Haute Ecole d'art et de design de Genève (HEAD)
644,瑞士,瑞士洛桑国际管理学院,International Institute for Management Development
645,瑞士,圣加仑大学,University of St.Gallen (HSG)
646,瑞士,苏黎世大学,University of Zurich
647,瑞士,苏黎世联邦理工学院,Swiss Federal Institute of Technology Zurich
648,塞尔维亚,贝尔格莱德大学,University of Belgrade
649,塞浦路斯,塞浦路斯大学,University of Cyprus
650,沙特阿拉伯,阿卜杜拉国王科技大学,King Abdullah University of Science and Technology
651,沙特阿拉伯,阿卜杜勒阿齐兹国王大学,King Abdulaziz University
652,沙特阿拉伯,法赫德国王石油矿产大学,King Fahd University of Petroleum & Minerals
653,沙特阿拉伯,沙特国王大学,King Saud University
654,斯洛伐克,夸美纽斯大学,Comenius University in Bratislava
655,斯洛文尼亚,卢布尔雅那大学,University of Ljubljana
656,泰国,国王科技大学,King Mongkut's University of Technology Thonburi
657,泰国,孔敬大学,Khon Kaen University
658,泰国,玛希隆大学,Mahidol University
659,泰国,清迈大学,Chiang Mai University
660,泰国,宋卡王子大学,Prince of Songkla University
661,泰国,泰国法政大学,Thammasat University
662,泰国,泰国农业大学,Kasetsart University
663,泰国,先皇理工学院,King Mongkut's Institute of Technology Ladkrabang
664,泰国,亚洲理工学院,"Asian Institute of Technology, Thailand"
665,泰国,朱拉隆功大学,Chulalongkorn University
666,土耳其,KOC大学,Koc University
667,土耳其,安卡拉大学,Ankara University
668,土耳其,比尔肯大学,Bilkent University
669,土耳其,哈斯特帕大学,Hacettepe University
670,土耳其,海峡大学,Bogazici University
671,土耳其,萨班哲大学,Sabanci University
672,土耳其,伊斯坦布尔大学,Istanbul University
673,土耳其,伊斯坦布尔理工大学,Istanbul Technical University
674,土耳其,中东理工大学,Middle East Technical University
675,乌干达,麦克雷雷大学,Makerere University
676,乌克兰,国立基辅大学,Taras Shevchenko National University of Kyiv
677,乌克兰,哈尔科夫国立大学,V. N. Karazin Kharkiv National University
678,西班牙,阿尔卡拉大学,Universidad de Alcalá
679,西班牙,阿利坎特大学,Universidad de Alicante
680,西班牙,巴伦西亚大学,University of Valencia
681,西班牙,巴塞罗那大学,University of Barcelona
682,西班牙,巴塞罗那自治大学,Autonomous University of Barcelona
683,西班牙,巴斯克大学,University of the Basque Country
684,西班牙,得恩普萨大学,IE University
685,西班牙,格拉纳达大学,University of Granada
686,西班牙,加泰罗尼亚理工大学,Polytechnic University of Catalonia
687,西班牙,拉萨尔大学,La Salle Universitat Ramon Llull
688,西班牙,马德里卡洛斯三世大学,Universidad Carlos III de Madrid (UC3M)
689,西班牙,马德里康普顿斯大学,Complutense University of Madrid
690,西班牙,马德里理工大学,Politécnica de Madrid
691,西班牙,马德里自治大学,Autonomous University of Madrid
692,西班牙,纳瓦拉大学,University of Navarra
693,西班牙,庞培法布拉大学,Pompeu Fabra University
694,西班牙,萨拉戈萨大学,University of Zaragoza
695,西班牙,萨拉曼卡大学,University of Salamanca
696,西班牙,塞维利亚大学,University of Seville
697,西班牙,圣地亚哥联合大学,University of Santiago Compostela
698,西班牙,瓦伦西亚理工大学,Polytechnic University of Valencia
699,西班牙,西班牙科尔多瓦大学,Universidad de Córdoba - España
700,西班牙,依维尔基里大学,University of Rovira i Virgili
701,希腊,爱奥尼亚大学,University of Ioannina
702,希腊,克里特大学,University of Crete
703,希腊,克里特科技大学,Technical University of Crete
704,希腊,帕特雷大学,University of Patras
705,希腊,萨洛尼卡大学,Aristotle University of Thessaloniki
706,希腊,雅典大学,National and Kapodistrian University of Athens
707,希腊,雅典国立科技大学,National Technical University of Athens
708,希腊,雅典经济与商业大学,Athens University of Economics and Business
709,新加坡,哈特福德学院,Hartford Institute
710,新加坡,南洋理工大学,Nanyang Technological University
711,新加坡,新加坡管理大学,Singapore Management University
712,新加坡,新加坡国立大学,National University of Singapore
713,新西兰,奥克兰大学,University of Auckland
714,新西兰,奥克兰理工大学,Auckland University of Technology
715,新西兰,奥塔哥大学,University of Otago
716,新西兰,怀卡托大学,University of Waikato
717,新西兰,惠灵顿维多利亚大学,Victoria University of Wellington
718,新西兰,坎特伯雷大学,University of Canterbury
719,新西兰,林肯大学,Lincoln University
720,新西兰,梅西大学,Massey University
721,匈牙利,布达佩斯大学,Corvinus University of Budapest
722,匈牙利,布达佩斯经济技术大学,Budapest University of Technology and Economics
723,匈牙利,德布勒森大学,University of Debrecen
724,匈牙利,罗兰大学,Eotvos Lorand University
725,匈牙利,佩奇大学,University of Pécs
726,匈牙利,塞格德大学,University of Szeged
727,匈牙利,塞梅尔魏斯大学,Semmelweis University
728,匈牙利,中欧大学,Central European University
729,伊朗,德黑兰大学,University of Tehran
730,伊朗,沙力夫理工大学,Sharif University of Technology
731,伊朗,伊朗科技大学,Iran University of Science and Technology
732,以色列,巴依兰大学,Bar-Ilan University
733,以色列,内盖夫本·古里安大学,Ben-Gurion University of the Negev
734,以色列,特拉维夫大学,Tel Aviv University
735,以色列,魏茨曼科学研究学院,Weizmann Institute of Science
736,以色列,耶路撒冷希伯来大学,Hebrew University of Jerusalem
737,以色列,以色列理工学院,Technion-Israel Institute of Technology
738,意大利,艾米利亚大学,University of Modena and Reggio Emilia
739,意大利,巴勒莫大学,University of Palermo
740,意大利,巴里大学,University of Bari Aldo Moro
741,意大利,巴里理工大学,Polytechnic University of Bari
742,意大利,比萨大学,University of Pisa
743,意大利,比萨高等师范学校,Scuola Normale Superiore - Pisa
744,意大利,比萨圣安娜大学,Scuola Superiore Sant’Anna
745,意大利,博科尼大学,Università Commerciale Luigi Bocconi
746,意大利,博洛尼亚大学,University of Bologna
747,意大利,布雷西亚大学,University of Brescia
748,意大利,的里雅斯特大学,University of Trieste
749,意大利,的里雅斯特国际高等研究学院,International School for Advanced Studies
750,意大利,都灵大学,University of Turin
751,意大利,都灵理工大学,Polytechnic University of Turin
752,意大利,费拉拉大学,University of Ferrara
753,意大利,佛罗伦萨大学,University of Florence
754,意大利,卡利亚里大学,University of Cagliari
755,意大利,卡塔尼亚大学,University of Catania
756,意大利,罗马第二大学,University of Roma - Tor Vergata
757,意大利,罗马第三大学,University of Rome III
758,意大利,罗马第一大学,Sapienza University of Rome
759,意大利,罗马国际社会科学自由大学,Luiss Guido Carli University
760,意大利,马尔凯理工大学,Marche Polytechnic University
761,意大利,米兰比可卡大学,University of Milan - Bicocca
762,意大利,米兰大学,University of Milan
763,意大利,米兰理工大学,Polytechnic University of Milan
764,意大利,那不勒斯菲里德里克第二大学,University of Naples Federico II
765,意大利,欧洲大学学院,European University Institute
766,意大利,帕多瓦大学,University of Padua
767,意大利,帕尔玛大学,University of Parma
768,意大利,帕维亚大学,University of Pavia
769,意大利,佩鲁贾大学,University of Perugia
770,意大利,热那亚大学,University of Genoa
771,意大利,萨兰托大学,University of Salento
772,意大利,圣拉斐尔大学,Vita-Salute San Raffaele University
773,意大利,圣心天主教大学,Catholic University of the Sacred Heart
774,意大利,特伦托大学,University of Trento
775,意大利,威尼斯卡福斯卡里大学,Ca’ Foscari University of Venice
776,意大利,维罗纳大学,University of Verona
777,意大利,乌迪内大学,University of Udine
778,意大利,乌尔比诺大学,University of Urbino Carlo Bo
779,意大利,锡耶纳大学,University of Siena
780,印度,安娜大学,Anna University
781,印度,贝拿勒斯印度教大学,Banaras Hindu University
782,印度,德里大学,University of Delhi
783,印度,海得拉巴大学,University of Hyderabad
784,印度,孟买塔塔基础研究学院,"Tata Institute of Fundamental Research (TIFR), Mumbai"
785,印度,尼赫鲁大学,Jawaharlal Nehru University
786,印度,旁遮普大学,Panjab University
787,印度,印度管理学院-艾哈迈达巴德,Indian Institute of Management (IIM) - Ahmedabad
788,印度,印度管理学院-班加罗尔,Indian Institute of Management (IIM) - Bangalore
789,印度,印度管理学院-加尔各答商学院,Indian Institue of Management (IIM) - Calcutta
790,印度,印度科学研究院,Indian Institute of Science
791,印度,印度理工学院德里分校,Indian Institute of Technology Delhi
792,印度,印度理工学院古瓦哈提分校,Indian Institute of Technology Guwahati (IITG)
793,印度,印度理工学院卡哈拉格普尔分校,Indian Institute of Technology Kharagpur
794,印度,印度理工学院坎普尔分校,Indian Institute of Technology Kanpur (IITK)
795,印度,印度理工学院鲁尔基分校,Indian Institute of Technology Roorkee (IITR)
796,印度,印度理工学院马德拉斯分校,Indian Institute of Technology Madras
797,印度,印度理工学院孟买分校,Indian Institute of Technology Bombay
798,印度,印度统计学院,Indian Statistical Institute
799,印度,印度艺术科技研究院,Shanmugha Arts Science Technology and Research Academy (SASTRA)
800,印度尼西亚,茂物农业大学,Bogor Agricultural University
801,印度尼西亚,万隆理工学院,Bandung Institute of Technology (ITB)
802,印度尼西亚,印度尼西亚大学,University of Indonesia
803,英国,阿伯丁大学,University of Aberdeen
804,英国,阿伯斯威大学,Aberystwyth University
805,英国,阿尔斯特大学,Ulster University
806,英国,阿斯顿大学,Aston University
807,英国,埃克塞特大学,University of Exeter
808,英国,艾塞克斯大学,University of Essex
809,英国,爱丁堡大学,University of Edinburgh
810,英国,巴思大学,University of Bath
811,英国,班戈大学,Bangor University
812,英国,贝尔法斯特女王大学,Queen's University Belfast
813,英国,伯恩茅斯大学,Bournemouth University
814,英国,伯明翰大学,University of Birmingham
815,英国,布拉德福德大学,University of Bradford
816,英国,布莱顿大学,University of Brighton
817,英国,布里斯托尔大学,University of Bristol
818,英国,布鲁内尔大学,Brunel University
819,英国,邓迪大学,University of Dundee
820,英国,东英吉利大学,University of East Anglia
821,英国,杜伦大学,Durham University
822,英国,格拉斯哥大学,University of Glasgow
823,英国,格拉斯哥艺术学校,The Glasgow School of Art
824,英国,赫尔大学,University of Hull
825,英国,赫瑞瓦特大学,Heriot-Watt University
826,英国,赫特福德大学,University of Hertfordshire
827,英国,华威大学,University of Warwick
828,英国,皇家艺术学院,Royal College of Art
829,英国,基尔大学,Keele University
830,英国,剑桥大学,University of Cambridge
831,英国,金斯顿大学,"Kingston University, London"
832,英国,卡迪夫大学,Cardiff University
833,英国,开放大学,The Open University
834,英国,坎特伯雷基督教会大学学院,Canterbury Christ Church University
835,英国,克兰菲尔德大学,Cranfield University
836,英国,肯特大学,University of Kent
837,英国,拉夫堡大学,Loughborough University
838,英国,莱斯特大学,University of Leicester
839,英国,兰卡斯特大学,Lancaster University
840,英国,雷丁大学,University of Reading
841,英国,利物浦大学,University of Liverpool
842,英国,利兹大学,University of Leeds
843,英国,伦敦城市大学,City University London
844,英国,伦敦大学伯克贝克学院,"Birkbeck, University of London"
845,英国,伦敦大学皇家霍洛威学院,Royal Holloway University of London
846,英国,伦敦大学皇家兽医学院,"Royal Veterinary College , University of London"
847,英国,伦敦大学教育研究院,The UCL Institute of Education
848,英国,伦敦大学金史密斯学院,"Goldsmiths, University of London"
849,英国,伦敦大学玛丽女王学院,Queen Mary University of London
850,英国,伦敦大学圣乔治学院,"St. George's, University of London"
851,英国,伦敦大学卫生和热带医学学院,London School of Hygiene & Tropical Medicine
852,英国,伦敦大学学院,University College London
853,英国,伦敦大学亚非学院,"SOAS, University of London"
854,英国,伦敦帝国学院,Imperial College London
855,英国,伦敦国王学院,King's College London
856,英国,伦敦商学院,London Business School
857,英国,伦敦艺术大学,University of the Arts London
858,英国,伦敦政治经济学院,London School of Economics and Political Science
859,英国,罗伯特戈登大学,Robert Gordon University
860,英国,罗汉普顿大学,"University of Roehampton, London"
861,英国,曼彻斯特大学,University of Manchester
862,英国,南安普敦大学,University of Southampton
863,英国,牛津布鲁克斯大学,Oxford Brookes University
864,英国,牛津大学,University of Oxford
865,英国,纽卡斯尔大学-上泰恩,Newcastle University
866,英国,诺丁汉大学,University of Nottingham
867,英国,诺丁汉特伦特大学,Nottingham Trent University
868,英国,朴茨茅斯大学,University of Portsmouth
869,英国,普利茅斯大学,University of Plymouth
870,英国,瑞文堡设计学院,Ravensbourne
871,英国,萨里大学,University of Surrey
872,英国,圣安德鲁斯大学,University of St Andrews
873,英国,斯凯莱德大学,University of Strathclyde
874,英国,斯特林大学,University of Stirling
875,英国,斯旺西大学,Swansea University
876,英国,苏格兰农业学院,Scottish Agricultural College (SAC)
877,英国,苏赛克斯大学,University of Sussex
878,英国,索尔福德大学,University of Salford
879,英国,威斯敏斯特大学,University of Westminster
880,英国,西英格兰大学,University of the West of England
881,英国,谢菲尔德大学,University of Sheffield
882,英国,约克大学(英国),University of York
883,智利,迭戈波塔利斯大学,Universidad Diego Portales
884,智利,康塞普西翁大学,Universidad de Concepción
885,智利,洛斯安第斯大学（智利）,Universidad de los Andes - Chile
886,智利,圣玛丽亚联邦理工大学,Universidad Técnica Federico Santa María (USM)
887,智利,瓦尔帕莱索天主大学,Pontificia Universidad Católica de Valparaíso
888,智利,智利大学,University of Chile
889,智利,智利南方大学,Universidad Austral de Chile
890,智利,智利圣地亚哥大学,Universidad de Santiago de Chile (USACH)
891,智利,智利天主教大学,Pontifical Catholic University of Chile
892,中国澳门,澳门大学,University of Macau
893,中国台湾,长庚大学,Chang Gung University
894,中国台湾,淡江大学,Tamkang University
895,中国台湾,逢甲大学,Feng Chia University
896,中国台湾,高雄医学大学,Kaohsiung Medical University
897,中国台湾,国立交通大学,National Chung Cheng University
898,中国台湾,国立台湾科技大学,National Taiwan University of Science and Technology (Taiwan Tech)
899,中国台湾,国立台湾师范大学,National Taiwan Normal University
900,中国台湾,国立政治大学,National Chengchi University
901,中国台湾,国立中兴大学,National Chung Hsing University
902,中国台湾,国立中央大学,National Central University
903,中国台湾,台北科技大学,National Taipei University of Technology
904,中国台湾,台北医科大学,Taipei Medical University
905,中国台湾,台湾成功大学,National Cheng Kung University
906,中国台湾,台湾大学,National Taiwan University
907,中国台湾,台湾交通大学,National Chiao Tung University
908,中国台湾,台湾清华大学,National Tsing Hua University
909,中国台湾,台湾阳明大学,National Yang-Ming University
910,中国台湾,台湾中山大学,National Sun Yat-Sen University
911,中国台湾,天主教辅仁大学,Fu Jen Catholic University
912,中国台湾,中国医药大学(台湾),China Medical University
913,中国香港,岭南大学,"Lingnan University, Hong Kong"
914,中国香港,香港城市大学,City University of Hong Kong
915,中国香港,香港大学,The University of Hong Kong
916,中国香港,香港教育学院,The Hong Kong Institute of Education
917,中国香港,香港浸会大学,Hong Kong Baptist University
918,中国香港,香港科技大学,The Hong Kong University of Science and Technology
919,中国香港,香港理工大学,The Hong Kong Polytechnic University
920,中国香港,香港理工大学设计学院,HK PolyU School of Design
921,中国香港,香港中文大学,The Chinese University of Hong Kong
