年份,国家/地区,中文校名,外文校名
2018,爱沙尼亚,维也纳兽医大学,University of Veterinary Medicine Vienna
2018,爱沙尼亚,维也纳医科大学,Medical University of Vienna
2019,爱沙尼亚,维也纳自然资源与应用生命科学大学,University of Natural Resources and Applied Life Sciences Vienna
2020,爱沙尼亚,因斯布鲁克大学,University of Innsbruck
2016,爱沙尼亚共和国,因斯布鲁克医科大学,Medical University of Innsbruck
2016,爱沙尼亚共和国,阿德雷德大学,University of Adelaide
2016,奥地利,埃迪斯科文大学,Edith Cowan University
2016,奥地利,澳大利亚国立大学,Australian National University
2016,奥地利,邦德大学,Bond University
2016,奥地利,查尔斯·达尔文大学,Charles Darwin University
2016,奥地利,迪肯大学,Deakin University
2016,奥地利,弗林德斯大学,Flinders University
2016,奥地利,格里菲思大学,Griffith University
2016,奥地利,皇家墨尔本理工大学,RMIT University
2016,奥地利,科廷科技大学,Curtin University of Technology
2016,奥地利,昆士兰大学,University of Queensland
2016,奥地利,昆士兰科技大学,Queensland University of Technology
2016,奥地利,拉筹伯大学,La Trobe University
2017,奥地利,麦考瑞大学,Macquarie University
2017,奥地利,莫纳什大学,Monash University
2018,奥地利,墨尔本大学,University of Melbourne
2018,奥地利,默多克大学,Murdoch University
2020,奥地利,南澳大学,University of South Australia
2016,澳大利亚,南十字星大学,Southern Cross University
2016,澳大利亚,纽卡斯尔大学,University of Newcastle
2016,澳大利亚,斯威本科技大学,Swinburne University of Technology
2016,澳大利亚,塔斯马尼亚大学,University of Tasmania
2016,澳大利亚,维多利亚大学,Victoria University
2016,澳大利亚,卧龙冈大学,University of Wollongong
2016,澳大利亚,西澳大利亚大学,University of Western Australia
2016,澳大利亚,西悉尼大学,Western Sydney University
2016,澳大利亚,悉尼大学,University of Sydney
2016,澳大利亚,悉尼科技大学,"University of Technology, Sydney"
2016,澳大利亚,新南威尔士大学,University of New South Wales
2016,澳大利亚,新英格兰大学,University of New England Australia
2016,澳大利亚,詹姆斯库克大学,James Cook University
2016,澳大利亚,阿加汗大学,Aga Khan University
2016,澳大利亚,阿里德农业大学,Arid Agriculture University
2016,澳大利亚,巴基斯坦信息技术学院,COMSATS Institute of Information Technology
2016,澳大利亚,费萨拉巴德农业大学,"University of Agriculture, Faisalabad"
2016,澳大利亚,伊斯兰堡国立科技大学,National University of Sciences And Technology (NUST) Islamabad
2016,澳大利亚,真纳大学,Quaid-i-azam University
2016,澳大利亚,阿拉伯海湾大学,Arabian Gulf University
2016,澳大利亚,巴拉那联邦大学,Universidade Federal do Paraná (UFPR)
2016,澳大利亚,巴西国立理论与应用数学研究所,Instituto Nacional de Matemática Pura e Aplicada (IMPA)
2016,澳大利亚,巴西利亚大学,Universidade de Brasilia
2016,澳大利亚,伯南布哥州联邦大学,Universidade Federal de Pernambuco(UFPE)
2016,澳大利亚,弗鲁米嫩塞联邦大学,Universidade Federal Fluminense
2016,澳大利亚,坎皮纳斯州立大学,Universidade Estadual de Campinas
2016,澳大利亚,拉夫拉斯联邦大学,Universidade Federal de Lavras
2016,澳大利亚,里奥格兰德天主大学,Pontificia Universidade Católica do Rio Grande do Sul (PUCRS)
2016,澳大利亚,里约热内卢联邦大学,Universidade Federal do Rio de Janeiro
2016,澳大利亚,里约热内卢天主教大学,Pontifícia Universidade Católica do Rio de Janeiro
2016,澳大利亚,里约热内卢州立大学,Universidade do Estado do Rio de Janeiro (UERJ)
2017,澳大利亚,米纳斯吉拉斯联邦大学,Universidade Federal de Minas Gerais
2017,澳大利亚,南里奥格兰德州联邦大学,Universidade Federal do Rio Grande do Sul
2017,澳大利亚,圣保罗大学,Universidade de São Paulo
2017,澳大利亚,圣保罗联邦大学,Universidade Federal de São Paulo (UNIFESP)
2017,澳大利亚,圣保罗天主政治大学,Pontificia Universidade Católica de São Paulo (PUC -SP)
2020,澳大利亚,圣保罗州立大学,São Paulo State University (UNESP)
2020,澳大利亚,圣卡洛斯联邦大学,Universidade Federal de São Carlos - (UFSCAR)
2016,巴基斯坦,圣卡塔琳娜州联邦大学,Universidade Federal de Santa Catarina
2016,巴基斯坦,瓦加斯基金会,Fundação Getulio Vargas (FGV)
2016,巴基斯坦,维索萨联邦大学,Universidade Federal de Viçosa-UFV
2016,巴基斯坦,白俄罗斯国立大学,Belarus State University
2016,巴基斯坦,圣克莱门特大学,University of St. Kliment Ohridski
2016,巴基斯坦,安特卫普大学,University of Antwerp
2017,巴基斯坦,布鲁塞尔自由大学(法语),Université libre de Bruxelles (ULB)
2017,巴基斯坦,布鲁塞尔自由大学(佛兰德语),Vrije Universiteit Brussel
2018,巴基斯坦,根特大学,Ghent University
2019,巴基斯坦,列日大学,University of Liege
2020,巴基斯坦,鲁汶大学(法语),Catholic University of Louvain
2016,巴林,鲁汶大学(佛兰德语),KU Leuven
2016,巴西,冰岛大学,University of Iceland
2016,巴西,波兰矿冶学院,AGH University of Science and Technology
2016,巴西,弗罗茨瓦夫大学,University of Wroclaw
2016,巴西,弗罗茨瓦夫工业大学,Wroclaw University of Technology
2016,巴西,华沙大学,University of Warsaw
2016,巴西,华沙理工大学,Warsaw University of Technology
2016,巴西,华沙中央农村经济学院,Warsaw University of Life Sciences
2016,巴西,克拉科夫雅盖隆大学,Jagiellonian University
2016,巴西,罗兹大学,University of Lodz
2016,巴西,奥尔堡大学,Aalborg University
2016,巴西,奥胡斯大学,Aarhus University
2016,巴西,丹麦技术大学,Technical University of Denmark
2016,巴西,哥本哈根大学,University of Copenhagen
2016,巴西,哥本哈根商学院,Copenhagen Business School
2016,巴西,罗斯基勒大学,Roskilde University
2016,巴西,南丹麦大学,University of Southern Denmark
2016,巴西,埃朗根-纽伦堡大学,University of Erlangen-Nuremberg
2016,巴西,柏林工业大学,Technical University of Berlin
2016,巴西,柏林洪堡大学,University of Berlin
2016,巴西,柏林夏里特医学院,Charite - Medical University of Berlin
2016,巴西,柏林自由大学,Free University of Berlin
2017,巴西,拜罗伊特大学,University of Bayreuth
2018,巴西,拜斯海姆管理学院,WHU - Otto Beisheim School of Management
2018,巴西,比勒费尔德大学,Bielefeld University
2018,巴西,波茨坦大学,University of Potsdam
2018,巴西,波恩大学,University of Bonn
2018,巴西,波鸿鲁尔大学,University of Bochum
2018,巴西,不来梅大学,University of Bremen
2018,巴西,布伦瑞克工业大学,Technical University of Braunschweig
2019,巴西,达姆施塔特工业大学,Technical University of Darmstadt
2016,白俄罗斯,德累斯顿工业大学,Technical University of Dresden
2016,保加利亚,杜塞尔多夫大学,University of Duesseldorf
2018,保加利亚,杜伊斯堡-埃森大学,University of Duisburg-Essen
2016,比利时,多特蒙德技术大学,Technical University of Dortmund
2016,比利时,法兰克福大学,University of Frankfurt
2016,比利时,弗莱堡大学,University of Freiburg
2016,比利时,哥廷根大学,University of Goettingen
2016,比利时,格赖夫斯瓦尔德大学,University of Greifswald
2016,比利时,哈雷-维滕贝格大学,Martin-Luther-Universität Halle-Wittenberg
2016,比利时,海德堡大学,Heidelberg University
2017,比利时,汉堡大学,University of Hamburg
2017,比利时,汉诺威大学,University of Hannover
2018,比利时,汉诺威医学院,Hannover Medical School
2020,比利时,霍恩海姆大学,University of Hohenheim
2016,冰岛,基尔大学,University of Kiel
2018,冰岛,吉森大学,University of Giessen
2019,波多黎各,卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology (KIT)
2016,波兰,凯撒斯劳滕工业大学,University of Kaiserslautern
2016,波兰,康斯坦茨大学,University of Konstanz
2016,波兰,科隆大学,University of Cologne
2016,波兰,莱比锡大学,University of Leipzig
2016,波兰,雷根斯堡大学,University of Regensburg
2016,波兰,罗斯托克大学,University of Rostock
2016,波兰,马尔堡大学,University of Marburg
2016,波兰,曼海姆大学,University of Mannheim
2017,波兰,美因茨大学,University of Mainz
2018,波兰,明斯特大学,University of Muenster
2018,波兰,慕尼黑大学,University of Munich
2020,波兰,慕尼黑工业大学,Technical University of Munich
2020,波兰,萨尔大学,Saarland University
2020,波兰,斯图加特大学,University of Stuttgart
2016,丹麦,图宾根大学,University of Tuebingen
2016,丹麦,维尔茨堡大学,University of Wuerzburg
2016,丹麦,乌尔姆大学,University of Ulm
2016,丹麦,亚琛工业大学,RWTH Aachen University
2016,丹麦,耶拿大学,University of Jena
2016,丹麦,高等经济学院,Higher School of Economics (HSE)
2016,丹麦,国家研究托木斯克理工大学,National Research Tomsk Polytechnic University
2017,丹麦,国立托木斯克大学,Tomsk State University
2017,丹麦,喀山联邦大学,Kazan Federal University
2017,丹麦,莫斯科国立大学,Lomonosov Moscow State University
2018,丹麦,莫斯科国立国际关系学院,Moscow State Institute of International Relations (MGIMO University)
2018,丹麦,莫斯科国立科技大学,Bauman Moscow State Technical University
2018,丹麦,莫斯科国立物理与科技大学,Moscow Institute of Physics and Technology State University
2016,德国,莫斯科核子研究大学,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
2016,德国,圣彼得堡国立大学,Saint Petersburg State University
2016,德国,圣彼得堡理工大学,Peter the Great Saint-Petersburg Polytechnic University
2016,德国,新西伯利亚国立大学,Novosibirsk State University
2016,德国,新西伯利亚国立技术大学,Novosibirsk State Technical University
2016,德国,埃塞克商学院,ESSEC Business School
2016,德国,艾克斯-马赛大学,Aix-Marseille University
2016,德国,奥弗涅大学,University of Auvergne
2016,德国,巴黎第二大学,Université Panthéon-Assas (Paris 2)
2016,德国,巴黎第九大学,Paris Dauphine University (Paris 9)
2016,德国,巴黎第六大学,Pierre and Marie Curie University - Paris 6
2016,德国,巴黎第七大学,University Paris Diderot - Paris 7
2016,德国,巴黎第三大学,Université Sorbonne Nouvelle Paris 3
2016,德国,巴黎第十大学,Université Paris Ouest Nanterre La Défense
2016,德国,巴黎第十三大学,Université Paris 13 Nord
2016,德国,巴黎第十一大学,University of Paris-Sud (Paris 11)
2016,德国,巴黎第四大学,Université Paris-Sorbonne (Paris IV)
2016,德国,巴黎第五大学,University of Paris Descartes (Paris 5)
2016,德国,巴黎第一大学,Université Paris 1 Panthéon-Sorbonne
2016,德国,巴黎高等电信学院,TELECOM ParisTech
2016,德国,巴黎高等矿业学校,MINES ParisTech
2016,德国,巴黎高等农艺科学学院,"Agro, ParisTech"
2016,德国,巴黎高等商学院,HEC Paris School of Management
2016,德国,巴黎高等师范学校,Ecole Normale Superieure - Paris
2016,德国,巴黎高科工程技术学校,"Arts et Métiers, ParisTech"
2016,德国,巴黎工业物理化学学校,ESPCI ParisTech
2016,德国,巴黎国家高等工业设计学院,"Ecole Nationale Supérieure de Création Industrielle, ENSCI Les Ateliers"
2016,德国,巴黎路桥学院,Ecole des Ponts ParisTech
2016,德国,巴黎政治学院,Sciences Po Paris
2016,德国,巴黎中央理工学院,Ecole Centrale de Paris
2016,德国,巴黎综合理工学院,Ecole Polytechnique
2016,德国,波尔多大学,University of Bordeaux
2016,德国,法国国立园艺学院,Agrocampus Ouest
2016,德国,高等电力学院,École Supérieure d'Électricité
2016,德国,格勒诺布尔第一大学,Joseph Fourier University (Grenoble 1)
2016,德国,格勒诺布尔高等商学院,Grenoble Graduate School of Business
2016,德国,格勒诺布尔理工学院,Institut polytechnique de Grenoble - Grenoble Institute of Technology
2016,德国,贡比涅技术大学,Université de Technologie de Compiègne (UTC)
2016,德国,国立蒙彼利埃高等农艺学院,"Sup Agro, Montpellier"
2016,德国,卡尚高等师范学院,Ecole Normale Supérieure de Cachan
2016,德国,雷恩第一大学,University of Rennes 1
2016,德国,里昂第二大学,Université Lumière Lyon 2
2016,德国,里昂第一大学,Claude Bernard University Lyon 1
2016,德国,里昂高等师范学校,Ecole Normale Superieure - Lyon
2016,德国,里昂商学院,EMLYON Business School
2016,德国,里昂应用科学学院,National Institute of Applied Sciences of Lyon (INSA Lyon)
2016,德国,里昂中央理工学院,Ecole Centrale de Lyon
2016,德国,里尔第二大学,Lille 2 University – Health and Law
2016,德国,里尔第三大学,Université Charles-de-Gaulle Lille 3
2016,德国,里尔第一大学,"Université Lille 1, Sciences et Technologies"
2017,德国,洛林大学,University of Lorraine
2017,德国,蒙彼利埃大学,University of Montpellier
2017,德国,蒙彼利埃第二大学,Université Montpellier 2 Sciences et Techniques
2017,德国,蒙彼利埃高等化学学院,"ENSCM, Chimie Montpellier"
2017,德国,南特大学,University of Nantes
2017,德国,南特中央理工学院,Ecole Centrale de Nantes
2017,德国,尼斯大学,University of Nice Sophia Antipolis
2017,德国,欧洲工商管理学院,INSEAD
2017,德国,欧洲商学院,ESCP Europe
2018,德国,萨瓦大学,Université de Savoie
2018,德国,斯特拉斯堡大学,University of Strasbourg
2018,德国,图卢兹第三大学,Paul Sabatier University (Toulouse 3)
2020,德国,图卢兹第一大学,Toulouse 1 Capitole University
2020,德国,图卢兹经济学院,Toulouse School of Economics
2020,德国,德拉萨大学,De La Salle University
2020,德国,菲律宾大学,University of the Philippines
2016,俄罗斯,马尼拉雅典耀大学,Ateneo de Manila University
2016,俄罗斯,阿尔托大学,Aalto University
2016,俄罗斯,埃博学术大学,Abo Akademi University
2016,俄罗斯,奥卢大学,University of Oulu
2016,俄罗斯,东芬兰大学,University of Eastern Finland
2016,俄罗斯,赫尔辛基大学,University of Helsinki
2016,俄罗斯,坦佩雷大学,University of Tampere
2016,俄罗斯,坦佩雷理工大学,Tampere University of Technology
2016,俄罗斯,图尔库大学,University of Turku
2016,俄罗斯,于韦斯屈莱大学,University of Jyvaskyla
2016,俄罗斯,安第斯大学,Universidad de los Andes
2016,俄罗斯,安蒂奥基亚省大学,Universidad de Antioquia
2016,俄罗斯,哥伦比亚对外大学,Universidad Externado de Colombia
2017,俄罗斯,哥伦比亚国立大学,Universidad Nacional de Colombia
2017,俄罗斯,哈韦里安纳主教大学,Pontificia Universidad Javeriana
2017,俄罗斯,拉萨瓦纳大学,Universidad de La Sabana
2017,俄罗斯,法拉比国立哈萨克斯坦大学,Al-Farabi Kazakh National University
2017,俄罗斯,国立欧亚大学,L.N. Gumilyov Eurasian National University
2017,俄罗斯,成均馆大学,Sungkyunkwan University
2017,俄罗斯,东国大学,Dongguk University
2018,俄罗斯,高丽大学,Korea University
2018,俄罗斯,光州科技学院,Gwangju Institute of Science and Technology
2018,俄罗斯,国立釜山大学,Pusan National University
2018,俄罗斯,国立庆尚大学,Gyeongsang National University
2018,俄罗斯,国立全北大学,Chonbuk National University
2018,俄罗斯,国立全南大学,Chonnam National University
2018,俄罗斯,国立忠南大学,Chungnam National University
2018,俄罗斯,韩国科学技术院,Korea Advanced Institute of Science and Technology
2018,俄罗斯,韩国岭南大学,Yeungnam University
2018,俄罗斯,韩国天主教大学,Catholic University of Korea
2019,俄罗斯,韩国外国语大学,Hankuk (Korea) University of Foreign Studies
2019,俄罗斯,韩国中央大学,Chung-Ang University(CAU)
2020,俄罗斯,汉阳大学,Hanyang University
2020,俄罗斯,弘益大学,Hongik University
2020,俄罗斯,梨花女子大学,Ewha Womans University
2020,俄罗斯,浦项理工大学,Pohang University of Science and Technology
2016,法国,庆北国立大学,Kyungpook National University
2016,法国,庆熙大学,Kyung Hee University
2016,法国,仁荷大学,Inha University
2016,法国,首尔大学,University of Seoul
2016,法国,首尔国立大学,Seoul National University
2016,法国,蔚山大学,University of Ulsan
2016,法国,西江大学,Sogang University
2016,法国,亚洲大学,Ajou University
2016,法国,延世大学,Yonsei University
2016,法国,阿姆斯特丹大学,University of Amsterdam
2016,法国,阿姆斯特丹自由大学,VU University Amsterdam
2016,法国,埃因霍温工业大学,Eindhoven University of Technology
2016,法国,爱因霍芬设计学院,Design Academy Eindhoven
2016,法国,代尔夫特理工大学,Delft University of Technology
2016,法国,蒂尔堡大学,Tilburg University
2016,法国,格罗宁根大学,University of Groningen
2016,法国,荷兰皇家美术学院,"Royal Academy of Art, The Hague (KABK)"
2016,法国,莱顿大学,Leiden University
2016,法国,马斯特里赫特大学,Maastricht University
2016,法国,奈梅亨大学,Radboud University Nijmegen
2016,法国,特文特大学,University of Twente
2016,法国,瓦格宁根大学,Wageningen University and Research Center
2016,法国,乌得勒支大学,Utrecht University
2016,法国,伊拉斯姆斯大学鹿特丹管理学院,"Rotterdam School of Management, Erasmus University"
2016,法国,伊拉兹马斯大学,Erasmus University Rotterdam
2016,法国,阿尔伯塔大学,University of Alberta
2016,法国,艾米丽卡尔艺术设计大学,Emily Carr University of Art + Design
2016,法国,达尔豪斯大学,Dalhousie University
2016,法国,多伦多大学,University of Toronto
2016,法国,圭尔夫大学,University of Guelph
2016,法国,滑铁卢大学,University of Waterloo
2016,法国,皇后大学,Queen's University
2016,法国,卡尔顿大学,Carleton University
2016,法国,卡尔加里大学,University of Calgary
2016,法国,魁北克大学,Université du Québec
2016,法国,魁北克大学蒙特利尔分校,Université du Québec à Montréal
2016,法国,拉瓦尔大学,Laval University
2016,法国,马尼托巴大学,University of Manitoba
2016,法国,麦吉尔大学,McGill University
2016,法国,麦克马斯特大学,McMaster University
2016,法国,蒙特利尔大学,University of Montreal
2016,法国,纽芬兰纪念大学,Memorial University of Newfoundland
2016,法国,萨斯喀彻温大学,University of Saskatchewan
2016,法国,舍布鲁克大学,Université de Sherbrooke
2016,法国,维多利亚大学,University of Victoria
2016,法国,渥太华大学,University of Ottawa
2016,法国,西安大略大学,University of Western Ontario
2016,法国,西蒙弗雷泽大学,Simon Fraser University
2016,法国,协和大学（加拿大）,Concordia University
2016,法国,英属哥伦比亚大学,University of British Columbia
2016,法国,约克大学(加拿大),York University
2016,法国,奥斯特拉瓦技术大学,VŠB - Technical University of Ostrava
2016,法国,布尔诺科技大学,Brno University of Technology
2016,法国,布拉格查尔斯大学,Charles University in Prague
2016,法国,布拉格科技大学,Czech Technical University in Prague
2016,法国,捷克科学院,Academy of Sciences of the Czech Republic
2016,法国,捷克美术学院,Academy of Fine Arts
2016,法国,帕拉茨基大学,Palacky University Olomouc
2016,法国,卡塔尔大学,Qatar University
2017,法国,萨格勒布大学,University of Zagreb
2017,法国,内罗毕大学,University of Nairobi
2017,法国,贝鲁特美国大学,American University of Beirut (AUB)
2017,法国,维尔纽斯大学,Vilnius University
2017,法国,维尔纽斯科技大学,Vilnius Gediminas Technical University
2017,法国,卢森堡大学,University of Luxembourg
2017,法国,贝碧思鲍耶大学,Babes-Bolyai University
2017,法国,布加勒斯特大学,University of Bucharest
2017,法国,西蒂米什瓦拉大学,Universitatea de Vest din Timisoara / West University of Timisoara
2017,法国,亚历山德鲁·库扎大学,Alexandru Ioan Cuza University
2017,法国,多媒体大学,Multimedia University (MMU)
2017,法国,马来西亚北方大学,Universiti Utara Malaysia (UUM)
2018,法国,马来西亚博特拉大学,Universiti Putra Malaysia (UPM)
2018,法国,马来西亚国民大学,Universiti Kebangsaan Malaysia (UKM)
2018,法国,马来西亚侯赛因大学,Universiti Tun Hussein Onn Malaysia (UTHM)
2018,法国,马来西亚科技大学,Universiti Sains Malaysia (USM)
2018,法国,马来西亚理工大学,Universiti Teknologi Malaysia
2019,法国,马来西亚理科大学,"University of Science, Malaysia"
2019,法国,马来西亚石油大学,Universiti Teknologi Petronas (Petronas)
2019,法国,马来亚大学,Universiti Malaya
2019,法国,玛拉科技大学,Universiti Teknologi MARA - UiTM
2019,法国,阿肯色大学-菲耶特维勒,University of Arkansas at Fayetteville
2019,法国,阿肯色大学-小石城,University of Arkansas at Little Rock
2019,法国,阿拉巴马大学,University of Alabama--Tuscaloosa
2019,法国,阿拉巴马大学-伯明翰,University of Alabama at Birmingham
2019,法国,阿拉斯加大学-费尔班克斯,University of Alaska - Fairbanks
2019,法国,埃莫里大学,Emory University
2019,法国,爱达荷大学,University of Idaho
2019,法国,爱荷华大学,University of Iowa
2019,法国,爱荷华州立大学,Iowa State University
2019,法国,奥本大学,Auburn University
2020,法国,北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill
2020,法国,北卡罗来纳州立大学-罗利,North Carolina State University - Raleigh
2020,法国,北伊利诺伊大学,Northern Illinois University
2020,法国,贝勒大学,Baylor University
2020,法国,贝勒医学院,Baylor College of Medicine
2020,法国,宾夕法尼亚大学,University of Pennsylvania
2016,菲律宾,宾夕法尼亚州立大学-大学城,Pennsylvania State University - University Park
2016,菲律宾,波士顿大学,Boston University
2016,菲律宾,波士顿学院,Boston College
2020,菲律宾,布兰迪斯大学,Brandeis University
2016,芬兰,布朗大学,Brown University
2016,芬兰,达特茅斯学院,Dartmouth College
2016,芬兰,德克萨斯大学阿灵顿分校,University of Texas--Arlington
2016,芬兰,德克萨斯大学安德森肿瘤中心,University of Texas M. D. Anderson Cancer Center
2016,芬兰,德克萨斯大学奥斯汀分校,University of Texas at Austin
2016,芬兰,德克萨斯大学达拉斯分校,University of Texas at Dallas
2016,芬兰,德克萨斯大学圣安东尼奥分校,University of Texas at San Antonio
2016,芬兰,德克萨斯大学卫生科学中心-圣安东尼奥,University of Texas Health Science Center at San Antonio
2016,芬兰,德克萨斯大学卫生科学中心-休斯顿,University of Texas Health Science Center at Houston
2017,芬兰,德克萨斯大学西南医学中心,University of Texas Southwestern Medical Center at Dallas
2017,芬兰,德克萨斯大学医学部-加尔维斯顿,University of Texas Medical Branch at Galveston
2016,哥伦比亚,德克萨斯理工大学,Texas Tech University
2016,哥伦比亚,德雷塞尔大学,Drexel University
2016,哥伦比亚,德州农工大学,Texas A&M University
2016,哥伦比亚,东北大学(美国),Northeastern University
2016,哥伦比亚,杜克大学,Duke University
2016,哥伦比亚,杜兰大学,Tulane University
2017,哥伦比亚,俄亥俄大学,Ohio University
2019,哥伦比亚,俄亥俄州立大学-哥伦布,Ohio State University - Columbus
2020,哥伦比亚,俄克拉荷马大学-诺曼,University of Oklahoma - Norman
2017,哥斯达黎加,俄克拉荷马州立大学,Oklahoma State University
2018,格鲁吉亚,俄勒冈大学,University of Oregon
2020,古巴,俄勒冈卫生科学大学,Oregon Health and Science University
2016,哈萨克斯坦,俄勒冈州立大学,Oregon State University
2016,哈萨克斯坦,范德堡大学,Vanderbilt University
2017,哈萨克斯坦,佛罗里达大学,University of Florida
2018,哈萨克斯坦,佛罗里达国际大学,Florida International University
2019,哈萨克斯坦,佛罗里达州立大学,Florida State University
2016,韩国,佛蒙特大学,University of Vermont
2016,韩国,弗吉尼亚大学,University of Virginia
2016,韩国,弗吉尼亚理工学院,Virginia Polytechnic Institute and State University
2016,韩国,弗吉尼亚联邦(州立)大学,Virginia Commonwealth University
2016,韩国,福坦莫大学,Fordham University
2016,韩国,哥伦比亚大学,Columbia University
2016,韩国,哈佛大学,Harvard University
2016,韩国,华盛顿大学,University of Washington
2016,韩国,华盛顿大学-圣路易斯,Washington University in St. Louis
2016,韩国,华盛顿州立大学-普尔曼,Washington State University
2016,韩国,怀俄明大学,University of Wyoming
2016,韩国,霍华德大学,Howard University
2016,韩国,加州大学-伯克利,"University of California, Berkeley"
2016,韩国,加州大学-戴维斯,"University of California, Davis"
2016,韩国,加州大学-尔湾分校,"University of California, Irvine"
2016,韩国,加州大学河滨分校,"University of California, Riverside"
2016,韩国,加州大学旧金山分校,"University of California, San Francisco"
2016,韩国,加州大学-洛杉矶,"University of California, Los Angeles"
2016,韩国,加州大学-圣地亚哥,"University of California, San Diego"
2016,韩国,加州大学-圣克鲁兹,"University of California, Santa Cruz"
2016,韩国,加州大学-圣塔芭芭拉,"University of California, Santa Barbara"
2016,韩国,加州理工学院,California Institute of Technology
2016,韩国,加州设计艺术中心学院,Art Center College of Design
2016,韩国,加州艺术学院,California College of the Arts
2016,韩国,加州艺术学院,California Institute of the Arts
2016,韩国,旧金山大学,University of San Francisco
2016,韩国,卡内基梅隆大学,Carnegie Mellon University
2017,韩国,凯斯西储大学,Case Western Reserve University
2017,韩国,堪萨斯大学,University of Kansas
2017,韩国,堪萨斯州立大学,Kansas State University
2017,韩国,康乃尔大学,Cornell University
2018,韩国,康涅狄格大学,University of Connecticut
2018,韩国,科罗拉多大学-玻尔得,University of Colorado at Boulder
2018,韩国,科罗拉多大学-丹佛,University of Colorado at Denver
2018,韩国,科罗拉多矿业学院,Colorado School of Mines
2018,韩国,科罗拉多州立大学,Colorado State University
2018,韩国,克拉克大学,Clark University
2018,韩国,克莱姆森大学,Clemson University
2016,荷兰,克兰布鲁克艺术学院,Cranbrook Academy of Art
2016,荷兰,肯塔基大学,University of Kentucky
2016,荷兰,拉什大学,Rush University
2016,荷兰,莱斯大学,Rice University
2016,荷兰,里海大学,Lehigh University
2016,荷兰,路易斯安娜州立大学-巴吞鲁日,Louisiana State University - Baton Rouge
2016,荷兰,路易维尔大学,University of Louisville
2016,荷兰,伦斯勒理工学院,Rensselaer Polytechnic Institute
2016,荷兰,罗德岛大学,University of Rhode Island
2016,荷兰,罗德岛设计学院,Rhode Island School of Design (RISD)
2016,荷兰,罗格斯，新泽西州立大学，新布朗思威克分校,"Rutgers, The State University of New Jersey - New Brunswick"
2016,荷兰,"罗格斯新泽西州州立大学,纽瓦克","Rutgers - The State University of New Jersey, Newark"
2016,荷兰,罗切斯特大学,University of Rochester
2016,荷兰,洛克菲勒大学,Rockefeller University
2016,荷兰,麻省理工学院,Massachusetts Institute of Technology
2016,荷兰,马里兰大学-巴尔的摩,"University of Maryland, Baltimore"
2017,荷兰,马里兰大学-巴尔的摩县,"University of Maryland, Baltimore County"
2018,荷兰,马里兰大学-大学城,"University of Maryland, College Park"
2018,荷兰,马萨诸塞大学阿默斯特分校,University of Massachusetts Amherst
